HF994935.1	Acetobacter_CAG_977_GCA_000434295.1
KB902575.1	Acetobacter_aceti_ATCC_23746_GCA_000379545.1
BABW01000742.1	Acetobacter_aceti_NBRC_14818_GCA_000193495.1
BAMU01000030.1	Acetobacter_aceti_NBRC_14818_GCA_000963905.1
KI421450.1	Acetobacterium_dehalogenans_DSM_11527_GCA_000472665.1
FO681347.1	Acholeplasma_palmae_J233_GCA_000968055.1
LFRX01000043.1	Acholeplasmatales_bacterium_DTU056_GCA_001512985.1
CYTV01000004	Achromobacter_CYTV01
FR901017.1	Acidaminococcus_CAG_917_GCA_000437555.1
ACGB01000044.1	Acidaminococcus_D21_D21_GCA_000174215.1
KE150449.1	Acidaminococcus_HPA0509_HPA0509_GCA_000411395.1
KE384299.1	Acidaminococcus_intestini_DSM_21505_GCA_000425045.1
CP003058.1	Acidaminococcus_intestini_RyC_MR95_GCA_000230275.1
LLEU01000018.1	Acidobacteria_bacterium_OLB17_GCA_001567505.1
CP000481.1	Acidothermus_cellulolyticus_11B_GCA_000015025.1
LSKS01000488.1	Acidovorax_CCH12_A4_CCH12_A4_GCA_001557145.1
DF238893.1	Acidovorax_MR_S7_MR_S7_GCA_000400995.2
LMJH01000009.1	Acidovorax_Root275_Root275_GCA_001428965.1
CP002521.1	Acidovorax_avenae_avenae_ATCC_19860_GCA_000176855.2
CP001392.1	Acidovorax_ebreus_TPSY_GCA_000022305.1
KB893937.1	Actinobacillus_capsulatus_DSM_19761_GCA_000374285.1
ACQL01000087.1	Actinobacillus_minor_NM305_GCA_000175195.1
ADOJ01000007.1	Actinobacillus_pleuropneumoniae_10_D13039_GCA_000178595.1
CP000746.1	Actinobacillus_succinogenes_130Z_GCA_000017245.1
CP009159.1	Actinobacillus_suis_ATCC_33415_GCA_000739435.1
CP003875.1	Actinobacillus_suis_H91_0380_GCA_000307145.1
GL831080.1	Actinobacillus_ureae_ATCC_25976_GCA_000188255.1
ALCA01000104.1	Actinomyces_ICM47_ICM47_GCA_000278725.1
JDFI01000056.1	Actinomyces_ICM54_ICM54_GCA_000565035.1
JRMV01000272.1	Actinomyces_S6_Spd3_S6_Spd3_GCA_000758755.1
DS999543.1	Actinomyces_coleocanis_DSM_15436_GCA_000159015.1
AKFS01000033.1	Actinomyces_georgiae_F0490_GCA_000277685.1
CP012072.1	Actinomyces_meyeri_W712_GCA_001262055.1
ALJK01000149.1	Actinomyces_naeslundii_Howell_279_GCA_000285995.1
AFUR01000005.1	Actinomyces_oral_taxon_175_F0384_GCA_000223355.2
GL622194.1	Actinomyces_oral_taxon_180_F0310_GCA_000185285.1
KB291543.1	Actinomyces_oral_taxon_181_F0379_GCA_000318335.2
GG703880.1	Actinomyces_oral_taxon_848_F0332_GCA_000162895.1
JH815208.1	Actinomyces_turicensis_ACS_279_V_Col4_GCA_000296505.1
JVMH01000139.1	Advenella_mimigardefordensis_303_AMIM_GCA_001056285.1
KE386850.1	Aequorivita_capsosiphonis_DSM_23843_GCA_000429125.1
AZSJ01000003.1	Afipia_P52_10_P52_10_GCA_000516555.1
CP001107.1	Agathobacter_rectalis_ATCC_33656_GCA_000020605.1
CP001071.1	Akkermansia_muciniphila_ATCC_BAA_835_GCA_000020225.1
FR885531.1	Akkermansia_muciniphila_CAG_154_GCA_000436395.1
CP004387.1	Alcanivorax_pacificus_W11_5_GCA_000299335.2
BBSJ01000029.1	Alicycliphilus_B1_B1_GCA_000974645.1
BBSJ01000053.1	Alicycliphilus_B1_B1_GCA_000974645.1
CP002449.1	Alicycliphilus_denitrificans_BC_GCA_000179015.2
CP002657.1	Alicycliphilus_denitrificans_K601_GCA_000204645.1
AKZN01000027.1	Alicyclobacillus_hesperidum_URH17_3_68_GCA_000294675.1
JXBW01000010.1	Alicyclobacillus_tengchongensis_CGMCC1504_GCA_001447355.1
HF998707.1	Alistipes_CAG_157_GCA_000433795.1
FR892021.1	Alistipes_CAG_268_GCA_000434235.1
HF985997.1	Alistipes_CAG_514_GCA_000431015.1
LARG01000018.1	Alistipes_N15_MGS_157_GCA_000980225.1
JRGF01000008.1	Alistipes_inops_627_GCA_000786575.1
AKIF01000028.1	Alkalibacillus_haloalkaliphilus_C5_GCA_000269905.1
KI912105.1	Alkaliflexus_imshenetskii_DSM_15055_GCA_000517065.1
GG700642.1	Alloprevotella_tannerae_ATCC_51259_GCA_000159995.1
AQXR01000011.1	Alloscardovia_criceti_DSM_17774_GCA_000376885.1
KQ955733.1	Alloscardovia_omnicolens_CMW7705A_GCA_001546145.1
